0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 5.000000000e+00, 0.000000000e+00
3.999999899e-05, 0.000000000e+00, 2.000000030e-01, 0.000000000e+00, 5.000000000e+00, 0.000000000e+00
7.999999798e-05, 5.030632019e-05, 2.000176758e-01, 5.030632019e-05, 5.000150681e+00, 3.767013550e+00
1.199999970e-04, 1.004934311e-04, 2.000353336e-01, 1.004934311e-04, 5.000301361e+00, 3.767013550e+00
1.599999960e-04, 1.508593559e-04, 2.000530213e-01, 1.508593559e-04, 5.000452518e+00, 3.778934479e+00
1.999999949e-04, 2.011060715e-04, 2.000706941e-01, 2.011060715e-04, 5.000603199e+00, 3.767013550e+00
2.399999939e-04, 2.514123917e-04, 2.000883669e-01, 2.514123917e-04, 5.000754356e+00, 3.778934479e+00
2.799999784e-04, 3.017187119e-04, 2.001060545e-01, 3.017187119e-04, 5.000905037e+00, 3.767013550e+00
3.199999919e-04, 3.519654274e-04, 2.001237124e-01, 3.519654274e-04, 5.001055717e+00, 3.767013550e+00
3.600000055e-04, 4.023313522e-04, 2.001414150e-01, 4.023313522e-04, 5.001206875e+00, 3.778934479e+00
3.999999899e-04, 4.525184340e-04, 2.001590729e-01, 4.525184631e-04, 5.001357555e+00, 3.767013550e+00
4.399999743e-04, 5.028843880e-04, 2.001767606e-01, 5.028843880e-04, 5.001508713e+00, 3.778934479e+00
4.799999879e-04, 5.532503128e-04, 2.001944631e-01, 5.532503128e-04, 5.001659870e+00, 3.778934479e+00
5.200000014e-04, 6.035565748e-04, 2.002121508e-01, 6.035566330e-04, 5.001810551e+00, 3.767013550e+00
5.599999567e-04, 6.538628950e-04, 2.002298385e-01, 6.538629532e-04, 5.001961708e+00, 3.778934479e+00
5.999999703e-04, 7.041692152e-04, 2.002475262e-01, 7.041692734e-04, 5.002112389e+00, 3.767013550e+00
6.399999838e-04, 7.544755354e-04, 2.002652138e-01, 7.544755936e-04, 5.002263546e+00, 3.778934479e+00
6.799999974e-04, 8.048414602e-04, 2.002829164e-01, 8.048415184e-04, 5.002414703e+00, 3.778934479e+00
7.200000109e-04, 8.552073268e-04, 2.003006041e-01, 8.552074432e-04, 5.002565384e+00, 3.767013550e+00
7.599999662e-04, 9.055136470e-04, 2.003182918e-01, 9.055137634e-04, 5.002716541e+00, 3.778934479e+00
7.999999798e-04, 9.558199090e-04, 2.003359795e-01, 9.558200836e-04, 5.002867222e+00, 3.767013550e+00
8.399999933e-04, 1.006245497e-03, 2.003536969e-01, 1.006245613e-03, 5.003018856e+00, 3.790855408e+00
8.799999487e-04, 1.056551700e-03, 2.003713846e-01, 1.056551933e-03, 5.003169537e+00, 3.767013550e+00
9.199999622e-04, 1.106977230e-03, 2.003891021e-01, 1.106977463e-03, 5.003320694e+00, 3.778934479e+00
9.599999757e-04, 1.157283550e-03, 2.004067898e-01, 1.157283783e-03, 5.003471851e+00, 3.778934479e+00
9.999999311e-04, 1.207649359e-03, 2.004245073e-01, 1.207649708e-03, 5.003623009e+00, 3.778934479e+00
1.040000003e-03, 1.258015283e-03, 2.004421949e-01, 1.258015633e-03, 5.003774166e+00, 3.778934479e+00
1.079999958e-03, 1.308381208e-03, 2.004599124e-01, 1.308381557e-03, 5.003925323e+00, 3.778934479e+00
